dev_id,time,no2,pm25,o3,humdity,so2,status,vin,no2_o3,temperature,co
0004a30b0024358c,2019-01-15T08:20:11.895773775Z,22,2.3,0,21,21,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:21:11.417619426Z,22,2.3,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:22:11.920582286Z,22,2.3,0,21,28,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T08:23:11.444118993Z,23,2.3,0,21,26,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T08:24:11.970678915Z,23,2.3,0,21,21,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:25:11.491680639Z,23,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:26:11.991808807Z,23,2.3,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:27:11.505663501Z,24,2.3,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:28:12.014041436Z,23,2.3,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:29:11.532116865Z,24,2.3,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:30:12.055317379Z,24,2.3,0,21,24,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:31:11.572776189Z,23,2.4,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:32:12.072559946Z,23,2.4,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:33:11.599034447Z,23,2.4,0,21,22,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:34:12.11664128Z,23,2.4,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:35:11.627818187Z,21,2.4,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:36:11.149884803Z,22,2.4,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:37:11.661050063Z,23,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:38:11.179837361Z,24,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:39:11.690040191Z,23,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:40:11.212483007Z,23,2.4,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:41:11.729233348Z,23,2.4,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:42:11.251764367Z,24,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:43:11.742626472Z,23,2.4,0,21,32,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:44:11.264252461Z,22,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:45:11.786607384Z,23,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:46:11.305431283Z,23,2.4,0,21,22,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:47:11.815424406Z,23,2.4,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:48:11.33008967Z,23,2.4,0,21,24,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:49:11.856316618Z,21,2.4,0,21,24,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T08:50:11.364221364Z,23,2.4,0,21,24,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T08:51:11.871529Z,22,2.4,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T08:52:11.396169487Z,23,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:53:11.91128946Z,22,2.4,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:54:11.435355962Z,23,2.4,0,21,19,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:55:11.926952427Z,24,2.4,0,21,24,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T08:56:11.452230668Z,23,2.4,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:57:11.974547924Z,24,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:58:11.492243721Z,23,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T08:59:11.992692671Z,21,2.4,0,21,24,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T09:00:11.510772579Z,23,2.4,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:01:12.034580484Z,24,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:02:11.542806574Z,25,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:03:12.053173845Z,23,2.4,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:04:11.605577663Z,23,2.4,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:05:11.095302255Z,22,2.4,0,21,32,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:06:11.701103809Z,23,2.4,0,21,27,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:07:11.115304661Z,23,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:08:11.636226773Z,23,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:09:11.157396482Z,22,2.4,0,21,23,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:10:11.666179947Z,22,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:11:11.187210715Z,23,2.4,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:12:11.700009326Z,23,2.4,0,21,24,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T09:13:11.221368104Z,23,2.4,0,21,22,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:14:11.750526543Z,21,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:15:11.249736906Z,23,2.4,0,21,22,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:16:11.759518619Z,22,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:17:11.273563061Z,23,2.4,0,21,23,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:18:11.792755879Z,23,2.4,0,21,24,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:19:11.323646265Z,23,2.4,0,21,27,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T09:20:11.815490799Z,23,2.4,0,21,24,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:21:11.334910614Z,24,2.4,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:22:11.85064762Z,23,2.4,0,21,23,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:23:11.378502408Z,23,2.4,0,21,31,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:24:11.872984427Z,23,2.4,0,21,26,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T09:25:11.397980623Z,23,2.4,0,21,24,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:26:11.918840594Z,24,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:27:11.427875606Z,23,2.4,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:28:11.930696929Z,24,2.4,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:29:11.460075899Z,23,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:30:11.966505339Z,23,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:31:11.492132788Z,23,2.4,0,21,22,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:32:11.011069621Z,22,2.4,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:33:11.522151711Z,23,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:34:11.043823332Z,23,2.4,0,21,32,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:35:11.556266166Z,23,2.4,0,21,24,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:36:11.081238093Z,23,2.4,0,21,32,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:37:11.584238722Z,23,2.4,0,21,22,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:38:11.105325224Z,22,2.4,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:39:11.619348009Z,24,2.4,0,21,30,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:40:11.137824327Z,23,2.4,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:41:11.64899542Z,23,2.4,0,21,23,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:42:11.159454479Z,22,2.4,0,21,28,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T09:43:11.667905484Z,22,2.4,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:44:11.198091973Z,23,2.4,0,21,22,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:45:11.711353881Z,23,2.4,0,21,27,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:46:11.230950183Z,23,2.4,0,21,24,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:47:11.739386635Z,24,2.4,0,21,24,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:48:11.25875803Z,21,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:49:11.772864365Z,23,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:50:11.293814511Z,23,2.4,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:51:11.792443146Z,23,2.4,0,21,22,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:52:11.326536516Z,22,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:53:11.835934599Z,24,2.4,0,21,21,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T09:54:11.349341702Z,24,2.5,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:55:11.854803658Z,21,2.6,0,21,24,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T09:56:11.373584733Z,23,2.5,0,21,19,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:57:11.893327851Z,23,2.5,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T09:58:11.398495987Z,23,2.4,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T09:59:11.918357408Z,22,2.4,0,21,22,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:00:11.43424539Z,24,2.4,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T10:01:10.963510905Z,23,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:02:11.471304987Z,24,2.4,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T10:03:10.983297888Z,23,2.4,0,21,24,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T10:04:11.492114396Z,24,2.4,0,21,30,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:05:11.020448525Z,24,2.4,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:06:11.541489528Z,23,2.4,0,21,26,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T10:07:11.049708107Z,23,2.5,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:08:11.560162068Z,23,2.5,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:09:11.069131471Z,23,2.4,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T10:10:11.590126573Z,22,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:11:11.104137639Z,24,2.4,0,21,24,0,12,15,21.6,0
0004a30b0024358c,2019-01-15T10:12:11.607357066Z,23,2.4,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:13:11.134637961Z,24,2.4,0,21,21,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T10:14:11.636512745Z,23,2.4,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:15:11.177317277Z,23,2.4,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:16:11.706677948Z,23,2.4,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:17:11.200854074Z,23,2.4,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:18:11.715687876Z,22,2.4,0,21,22,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T10:19:11.23101189Z,23,2.4,0,21,27,0,12,13,21.6,0
